Frequency Hz,Channel A V,Channel B V,,
100,0.02896,1.979,,
200,0.05429,1.970,,
400,0.10300,1.952,,
600,0.14660,1.946,,
800,0.18820,1.870,,
1000,0.22620,1.807,,
2000,0.35830,1.482,,
3000,0.43060,1.229,,
4000,0.46690,1.039,,
5000,0.04850,0.921,,
6000,0.05031,0.813,,
7000,0.05076,0.750,,
8000,0.05122,0.713,,
9000,0.05167,0.668,,
10000,0.05212,0.632,,
20000,0.05212,0.560,,
30000,0.05167,0.587,,
25000,0.05212,0.569,,
27500,0.05167,0.578,,
15000,0.05258,0.569,,
40000,0.05122,0.668,,
60000,0.04805,0.822,,
80000,0.04397,0.921,,
100000,0.03989,0.993,,
